City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
268,san pedro pochutla,15.7333,-96.4667,27.06,79,0,1.58,MX,1740624842
269,sovetskaya gavan',48.9723,140.2878,-5.91,66,3,0.64,RU,1740624843
270,batang,-6.4846,110.7083,26.28,84,100,0.77,ID,1740624844
271,bandundu,-3.3167,17.3667,21.92,88,10,0.56,CD,1740624845
272,taltal,-25.4,-70.4833,19.51,87,84,0.47,CL,1740624846
273,bowen,-20.0167,148.2333,29.45,62,70,7.35,AU,1740624847
274,mizdah,31.4451,12.9801,10.95,53,34,0.51,LY,1740624848
275,ulladulla,-35.35,150.4667,26.01,71,21,5.69,AU,1740624612
276,al kharijah,25.4514,30.5464,10.59,50,0,3.27,EG,1740624850
277,georgetown,5.4112,100.3354,30.96,62,20,3.6,MY,1740624851
278,sarakhs,36.5449,61.1577,2.76,54,100,4.01,IR,1740624852
279,college,64.8569,-147.8028,-9.01,55,75,3.09,US,1740624853
280,mar del plata,-38.0023,-57.5575,17.69,76,0,5.66,AR,1740624426
281,soe,-9.8607,124.284,26.69,58,1,2.79,ID,1740624855
282,turpan,42.9333,89.1667,8.42,21,100,0.84,CN,1740624856
283,kidal,18.4411,1.4078,17.15,20,0,4.98,ML,1740624857
284,tagab,34.855,69.6492,3.35,83,100,1.89,AF,1740624858
285,namibe,-15.1961,12.1522,22.4,78,100,2.91,AO,1740624859
286,fortuna,40.5982,-124.1573,11.63,65,0,3.6,US,1740624860
287,rawson,-43.3002,-65.1023,17.16,63,40,10.8,AR,1740624861
288,polyarnyy,69.1989,33.4478,0.92,99,100,4.55,RU,1740624862
289,new norfolk,-42.7826,147.0587,22.06,34,28,1.05,AU,1740624863
290,jasaan,8.65,124.7833,27.66,76,83,2.95,PH,1740624864
291,kuytun,54.3419,101.5036,-14.17,76,96,6.53,RU,1740624865
292,chenzhou,25.8,113.0333,20.2,68,30,2.92,CN,1740624867
293,zaozhuang,34.8647,117.5542,12.79,50,18,3.42,CN,1740624868
294,suva,-18.1416,178.4415,30.71,70,40,5.14,FJ,1740624869
295,kingston,17.997,-76.7936,26.53,69,75,2.57,JM,1740624829
296,pangody,65.85,74.4859,-33.96,93,73,2.23,RU,1740624871
297,kudahuvadhoo,2.6708,72.8944,27.62,78,86,5.71,MV,1740624872
298,cururupu,-1.8283,-44.8683,22.78,100,100,0.39,BR,1740624873
299,tofol,5.3248,163.0078,28.88,79,75,5.66,FM,1740624874
300,taoudenni,22.6783,-3.9836,16.5,20,0,5.24,ML,1740624875
301,cestos city,5.46,-9.5828,25.91,89,79,2.06,LR,1740624876
302,levuka,50.1834,-105.4011,1.84,81,40,4.68,CA,1740624877
303,lata,40.1629,-8.3327,6.83,93,100,1.29,PT,1740624878
304,antofagasta,-23.65,-70.4,20.6,87,52,1.97,CL,1740624644
305,nema,57.5067,50.5011,-1.82,98,100,1.79,RU,1740624880
306,mejit,10.2753,170.8646,27.14,80,37,9.08,MH,1740624881
307,trogir,43.5125,16.2517,11.03,100,75,1.03,HR,1740624884
308,quellon,-43.1167,-73.6167,11.12,89,100,2.6,CL,1740624885
309,mega,4.05,38.3,16.97,26,1,4.22,ET,1740624886
310,jamestown,42.097,-79.2353,2.8,97,100,3.09,US,1740624702
311,dhulikhel,27.6189,85.5529,11.75,39,0,1.52,NP,1740624390
312,glace bay,46.1969,-59.957,1.25,88,75,4.63,CA,1740624604
313,naliya,23.2667,68.8333,23.68,55,100,2.04,IN,1740624890
314,as sulayyil,20.4607,45.5779,12.69,41,52,4.29,SA,1740624891
315,miyaly,48.8844,53.7836,-17.79,100,100,3.14,KZ,1740624892
316,gambela,8.25,34.5833,27.66,33,6,1.8,ET,1740624893
317,ulanhot,46.0833,122.0833,4.21,22,19,7.25,CN,1740624894
318,okuchi-shinohara,32.0667,130.6167,17.08,23,82,0.53,JP,1740624895
319,khovd,48.0056,91.6419,-13.73,71,17,1.12,MN,1740624896
320,phibun mangsahan,15.2447,105.2291,30.85,42,13,1.01,TH,1740624875
321,behshahr,36.6923,53.5526,1.09,61,47,1.79,IR,1740624898
322,klyuchi,52.2667,79.1667,-5.28,92,100,6.65,RU,1740624899
323,lihue,21.9789,-159.3672,27.08,73,75,4.12,US,1740624900
324,susaki,33.3667,133.2833,13.43,34,67,2.91,JP,1740624797
325,keflavik,64.0049,-22.5624,1.24,93,75,4.63,IS,1740624902
